num,name,title1,title2,title3,title4,title5
2,Alan Bovik,欧洲科学院院士,IEEE Life Fellow,,,
125,Alex C. Kot,IEEE Life Fellow,,,,
69,Arnold Smeulders,IAPR Fellow,,,,
112,Bin Xiao,IEEE Fellow,,,,
3,C. L. Philip Chen,欧洲科学院院士,IEEE Fellow,,,
9,Carlos A Aguirre-Salado,德国国家科学院院士,,,,
15,Changyun Wen,IEEE Fellow,,,,
16,Chaudhuri Subhasis,IEEE Fellow,,,,
99,Chenming Wu,IEEE Fellow,,,,
17,Chia-Wen Lin,IEEE Fellow,,,,
114,Chin-Chen Chang,IEEE Fellow,欧洲科学院院士,,,
115,Ching-Nung Yang,IET Fellow,,,,
1,Dacheng Tao,欧洲科学院院士,澳大利亚科学院院士,IEEE Fellow,ACM Fellow,
18,David Doermann,IEEE Fellow,,,,
47,David Zhang,加拿大皇家科学院院士,加拿大工程院院士,IEEE Life Fellow,IAPR Fellow,AAIA Fellow
70,Duoqian Miao,IRSS Fellow,CAAI Fellow,,,
86,Enhua Wu,CCF Fellow,,,,
19,Erik Blasch,IEEE Fellow,,,,
20,Fatih Porikli,IEEE Fellow,,,,
48,Fei-Fei Li,美国国家工程院院士,ACM Fellow,,,
21,Feng Wu,IEEE Fellow,,,,
83,Gaven Martin,新西兰皇家学会院士,美国数学学会院士,新西兰数学学会院士,,
22,Giancarlo Fortino,IEEE Fellow,,,,
23,Guangming Shi,IEEE Fellow,,,,
88,Guangtao Zhai,IEEE Fellow,,,,
127,Guoying Zhao,IEEE Fellow,IAPR Fellow,AAIA Fellow,芬兰科学院院士,欧洲科学院院士
49,Haibin Ling,IEEE Fellow,,,,
24,Haojin Zhu,IEEE Fellow,,,,
102,Heng Tao Shen,ACM Fellow,IEEE Fellow,OSA Fellow,,
71,Hoi-Jun Yoo,IEEE Life Fellow,,,,
25,Hong Yan,IEEE Fellow,,,,
26,Houqiang Li,IEEE Fellow,,,,
62,Huaimin Wang,中国科学院院士,,,,
50,Huchuan Lu,IEEE Fellow,,,,
27,Huijun Gao,IEEE Fellow,,,,
72,Ioannis Pitas,IEEE Fellow,,,,
118,Isao Echizen,IEICE Fellow,,,,
90,Jia Li,英国工程技术学会会士,,,,
51,Jianhua Yao,IEEE Fellow,,,,
52,Jie Zhou,IEEE Fellow,,,,
4,Jiebo Luo,欧洲科学院院士,IEEE Fellow,ACM Fellow,,
53,Jiming Chen,IEEE Fellow,,,,
87,Jinhu Lu,IEEE Fellow,,,,
54,Jiwen Lu,IEEE Fellow,,,,
110,Jiye Liang,IEEE Fellow,,,,
63,John K. Tsotsos,加拿大皇家学会院士,加拿大工程院院士,IEEE Life Fellow,,
5,Josef Kittler,英国皇家工程院院士,IEEE Life Fellow,,,
6,Junliang Chen,中国科学院院士,,,,
64,Keqiang Li,中国工程院院士,,,,
132,Keqin Li,IEEE Fellow,欧洲科学院院士,,,
55,Lei Zhang,IEEE Fellow,,,,
56,Liangpei Zhang,IEEE Fellow,,,,
8,Licheng Jiao,欧洲科学院院士,IEEE Fellow,,,
119,Ligang Wu,IEEE Fellow,,,,
57,Ling Shao,IEEE Fellow,,,,
105,Liqiang Nie,IAPR Fellow,,,,
137,Luisa Verdoliva,IEEE Fellow,,,,
65,Maja Pantic,英国皇家工程院院士,IEEE Fellow,,,
89,Meng Wang,IEEE Fellow,IAPR Fellow,,,
28,Milind Tambe,ACM Fellow,,,,
29,Ming-Hsuan Yang,ACM Fellow,IEEE Fellow,,,
120,Mohammad S. Obaidat,IEEE Fellow,,,,
73,Mohan Kankanhalli,新加坡国家科学院院士,IEEE Fellow,,,
66,Nanning Zheng,中国工程院院士,IEEE Fellow,,,
111,Nikola K. Kasabov,IEEE Life Fellow,,,,
67,Philip H. S. Torr,英国皇家科学院院士,英国皇家工程院院士,IAPR Fellow,,
10,Qi Tian,国际欧亚科学院院士,ACM Fellow,IEEE Fellow,,
60,Qingming Huang,IEEE Fellow,,,,
121,Rahul Dixit,IEEE Fellow,,,,
84,Ruili Wang,新西兰工程院院士,,,,
30,Sam Kwong,IEEE Fellow,,,,
31,Scott T. Acton,IEEE Fellow,,,,
113,Shengyong Chen,IET Fellow,,,,
74,Shugong Xu,IEEE Fellow,,,,
11,Shuicheng Yan,新加坡工程院院士,IEEE Fellow,ACM Fellow,IAPR Fellow,
68,Shuxiang Guo,日本工程院外籍院士,IEEE Fellow,,,
106,Shuzhi Sam Ge,IEEE Fellow,,,,
32,Siwei Lyu,IEEE Fellow,IAPR Fellow,AAIA Fellow,,
33,Stan Z. Li,IEEE Fellow,,,,
12,Stephen Maybank,欧洲科学院院士,IEEE Fellow,,,
34,Steven Hoi,IEEE Fellow,,,,
93,Terrance E. Boult,IEEE Fellow,,,,
75,Timothy K. Shih,IET Fellow,,,,
133,Wanlei Zhou,IEEE Life Fellow,,,,
35,Wei Liu,IEEE Fellow,,,,
36,Weisi Lin,IEEE Fellow,,,,
37,Wen-Hua Chen,IEEE Fellow,,,,
38,Wen-Huang Cheng,IEEE Fellow,,,,
76,Wenjun Zeng,IEEE Fellow,,,,
39,Wenjun Zhang,IEEE Fellow,,,,
123,Xiaohua Jia,IEEE Fellow,,,,
58,Xiaokang Yang,IEEE Fellow,,,,
59,Xilin Chen,IEEE Fellow,ACM Fellow,,,
40,Xin Li,IEEE Fellow,,,,
134,Xin Luo,IEEE Fellow,,,,
41,Xinbo Gao,IEEE Fellow,,,,
13,Xuelong Li,欧洲科学院院士,IEEE Fellow,,,
124,Yao Zhao,IEEE Fellow,,,,
79,Yaonan Wang,中国工程院院士,,,,
97,Yiu-Ming Cheung,IEEE Fellow,,,,
126,Yongdong Zhang,IEEE Fellow,,,,
61,Yonghong Tian,IEEE Fellow,,,,
42,Yu Hen Hu,IEEE Fellow,,,,
43,Yuanqing Xia,IEEE Fellow,,,,
108,Yunhong Wang,IEEE Fellow,,,,
117,Yun-Qing Shi,IEEE Fellow,,,,
44,Zeng-Guang Hou,IEEE Fellow,,,,
135,Zeshui Xu,IEEE Fellow,,,,
77,Zhaojie Ju,IET Fellow,JSPS Fellow,,,
45,Zheng Zhu,IEEE Fellow,,,,
46,Zongli Lin,IEEE Fellow,AAAS Fellow,,,
