统计序号,作者姓名,是否为Fellow,是否为院士
2,Alan Bovik,是,是
125,Alex C. Kot,是,否
69,Arnold Smeulders,否,否
112,Bin Xiao,是,否
3,C. L. Philip Chen,是,是
9,Carlos A Aguirre-Salado,否,是
15,Changyun Wen,是,否
16,Chaudhuri Subhasis,是,否
99,Chenming Wu,是,否
17,Chia-Wen Lin,是,否
114,Chin-Chen Chang,是,是
115,Ching-Nung Yang,否,否
1,Dacheng Tao,是,是
18,David Doermann,是,否
47,David Zhang,是,是
70,Duoqian Miao,否,否
86,Enhua Wu,否,否
19,Erik Blasch,是,否
20,Fatih Porikli,是,否
48,Fei-Fei Li,是,是
21,Feng Wu,是,否
83,Gaven Martin,否,是
22,Giancarlo Fortino,是,否
23,Guangming Shi,是,否
88,Guangtao Zhai,是,否
127,Guoying Zhao,是,是
49,Haibin Ling,是,否
24,Haojin Zhu,是,否
102,Heng Tao Shen,是,否
71,Hoi-Jun Yoo,是,否
25,Hong Yan,是,否
26,Houqiang Li,是,否
62,Huaimin Wang,否,是
50,Huchuan Lu,是,否
27,Huijun Gao,是,否
72,Ioannis Pitas,是,否
118,Isao Echizen,否,否
90,Jia Li,否,否
51,Jianhua Yao,是,否
52,Jie Zhou,是,否
4,Jiebo Luo,是,是
53,Jiming Chen,是,否
87,Jinhu Lu,是,否
54,Jiwen Lu,是,否
110,Jiye Liang,是,否
63,John K. Tsotsos,是,是
5,Josef Kittler,是,是
6,Junliang Chen,否,是
64,Keqiang Li,否,是
132,Keqin Li,是,是
55,Lei Zhang,是,否
56,Liangpei Zhang,是,否
8,Licheng Jiao,是,是
119,Ligang Wu,是,否
57,Ling Shao,是,否
105,Liqiang Nie,否,否
137,Luisa Verdoliva,是,否
65,Maja Pantic,是,是
89,Meng Wang,是,否
28,Milind Tambe,是,否
29,Ming-Hsuan Yang,是,否
120,Mohammad S. Obaidat,是,否
73,Mohan Kankanhalli,是,是
66,Nanning Zheng,是,是
111,Nikola K. Kasabov,是,否
67,Philip H. S. Torr,否,是
10,Qi Tian,是,是
60,Qingming Huang,是,否
121,Rahul Dixit,是,否
84,Ruili Wang,否,是
30,Sam Kwong,是,否
31,Scott T. Acton,是,否
113,Shengyong Chen,否,否
74,Shugong Xu,是,否
11,Shuicheng Yan,是,是
68,Shuxiang Guo,是,是
106,Shuzhi Sam Ge,是,否
32,Siwei Lyu,是,否
33,Stan Z. Li,是,否
12,Stephen Maybank,是,是
34,Steven Hoi,是,否
93,Terrance E. Boult,是,否
75,Timothy K. Shih,否,否
133,Wanlei Zhou,是,否
35,Wei Liu,是,否
36,Weisi Lin,是,否
37,Wen-Hua Chen,是,否
38,Wen-Huang Cheng,是,否
76,Wenjun Zeng,是,否
39,Wenjun Zhang,是,否
123,Xiaohua Jia,是,否
58,Xiaokang Yang,是,否
59,Xilin Chen,是,否
40,Xin Li,是,否
134,Xin Luo,是,否
41,Xinbo Gao,是,否
13,Xuelong Li,是,是
124,Yao Zhao,是,否
79,Yaonan Wang,否,是
97,Yiu-Ming Cheung,是,否
126,Yongdong Zhang,是,否
61,Yonghong Tian,是,否
42,Yu Hen Hu,是,否
43,Yuanqing Xia,是,否
108,Yunhong Wang,是,否
117,Yun-Qing Shi,是,否
44,Zeng-Guang Hou,是,否
135,Zeshui Xu,是,否
77,Zhaojie Ju,否,否
45,Zheng Zhu,是,否
46,Zongli Lin,是,否
